city,latitude,longitude,metro_cbsa_code
US/RI/Warwick,41.716667,-71.416667,
US/SC/Charleston,32.783333,-79.933333,16700
US/SC/Goose Creek,33.0,-80.033333,16700
US/SC/Hilton Head Island,32.178889,-80.743056,25940
US/SC/Isle of Palms,32.79,-79.783889,16700
US/SC/Little River,33.871667,-78.627778,34820
US/SC/Longs,33.938611,-78.733056,34820
US/SC/Mount Pleasant,32.786944,-79.876389,16700
US/SC/Myrtle Beach,33.744075,-78.869475,34820
US/SC/North Charleston,32.885278,-80.016944,16700
US/SC/Sumter,33.926944,-80.363611,
US/SD/Rapid City,44.076,-103.228,
US/TN/Gatlinburg,35.714167,-83.510278,
US/TN/Knoxville,35.9617,-83.9232,
US/TN/Nashville,36.166667,-86.783333,
US/TN/Pigeon Forge,35.793889,-83.564167,
US/TX/Abilene,32.45,-99.75,
US/TX/Amarillo,35.199167,-101.845278,
US/TX/Arlington,32.705,-97.122778,
US/TX/Austin,30.266667,-97.733333,
US/TX/Bedford,32.846667,-97.139722,
US/TX/Dallas,32.779167,-96.808889,
US/TX/Fort Worth,32.75,-97.333333,
US/TX/Irving,32.816667,-96.95,
US/TX/Hurst,32.835556,-97.180278,
US/TX/Lubbock,33.577778,-101.89,
US/TX/San Antonio,29.416667,-98.5,
US/TX/Selma,29.587222,-98.315833,
US/TX/Temple,31.166667,-97.566667,
US/UT/Herriman,40.506667,-112.030833,
US/UT/Layton,41.078056,-111.955278,
US/UT/Ogden,41.227778,-111.961111,
US/VA/Ashburn,39.043611,-77.4875,
US/VA/Hampton,37.034946,-76.360126,
US/VA/Sterling,39.006111,-77.428611,
US/WA/Bellevue,47.614444,-122.1925,42660
US/WA/Bellingham,48.750278,-122.475,
US/WA/Marysville,48.062778,-122.163333,42660
US/WA/Mukilteo,47.916111,-122.303056,42660
US/WA/Renton,47.486667,-122.195278,42660
US/WA/SeaTac,47.441389,-122.293056,42660
US/WA/Seattle,47.609722,-122.333056,42660
US/WA/Tukwila,47.478333,-122.275556,42660
US/WV/Huntington,38.420833,-82.423611,26580
US/WV/Morgantown,39.633611,-79.950556,
Overnight Flight/DFW-NRT,54.941111,-156.543889,
Overnight Flight/DFW-SYD,-0.941944,-152.419722,
Overnight Flight/FRA,50.033306,8.570456,
Overnight Flight/HEL,60.317222,24.963333,
Overnight Flight/LAX,33.942496,-118.408048,
Overnight Flight/MUC,48.353783,11.786086,
Overnight Flight/ORD,41.974522,-87.906596,
Overnight Flight/SYD,-33.946110,151.177222,
Overnight Flight/YYZ,43.676667,-79.630555,
